Heurist ID,Hledaný administrativní termín,Typ,Původ,Krátký popis
1832,Hegemon,Související s funkcí zastupitele,Řecký,"představený, nejvyšší velitel, titul spojený s římským císařem či guvernérem provincie"
2623,Hegemonia,Instituce,Řecký,"politická moc, nadvláda, imperium"
8271,Hippeus,Vojenství,Řecký,"jezdec, voják vyšší šarže"
1834,Horkos,Instituce,Řecký,přísaha
1835,Horos,Jméno místa,Řecký,hraniční kámen
2922,Hypatos,Související s funkcí zastupitele,Římský,ekvivalent pro konzula
1837,Iatros,Specifické povolání,Řecký,"lékař, léčitel"
3563,Kaisar,Instituce,Římský,císař
1838,Katoikia,Jméno místa,Řecký,"osídlení vojenského charakteru, často s vojenskou posádkou"
8124,Kenturion,Vojenství,Římský,římský centurion
1839,Kerykes,Související s funkcí zastupitele,Řecký,hlasatelé
7876,Kleronomos,Společenské postavení,Řecký,dědic
9468,Komarchia,Instituce,Řecký,vesnická samospráva
1840,Kome,Jméno místa,Řecký,"vesnice, nejmenší jednotka samosprávy"
8330,Kometai,Společenské postavení,Řecký,obyvatelé vesnice
7545,Metropolis,Jméno místa,Řecký,"mateřské, hlavní město"
15431,Nauarchos,Vojenství,Řecký,velitel námořnictva
2312,Nomofylax,Související s funkcí zastupitele,Řecký,"ochránce práva a zákonů, strážce"
1842,Nomos,Instituce,Řecký,"zákon, regulace, nařízení"
1843,Oikonomos,Související s funkcí zastupitele,Řecký,"finanční dohlížitel, správce"
1844,Oikos,Jméno místa,Řecký,"dům, základní finanční a správní jednotka řecké polis, domácnost"
15054,Paidagogos,Specifické povolání,Řecký,otrok doprovázející děti do vzdělávací instituce
2607,Paideutes,Specifické povolání,Řecký,"učitel, vyučujícící"
2305,Patris,Jméno místa,Řecký,vlast
4772,Patron,Specifické povolání,Římský,patron
11580,Polemos,Vojenství,Řecký,válka
1846,Polis,Instituce,Řecký,městská obec
2320,Politai,Společenské postavení,Řecký,občané polis
1847,Politeia,Instituce,Řecký,ústava
8918,Politeuomenon,Instituce,Řecký,zastávat občanskou povinnost
3092,Pontarches,Související s funkcí zastupitele,Řecký,předseda provinciálního sněmu obcí na pobřeží Černého moře v římské době
12477,Pragmatikos,Související s funkcí zastupitele,Řecký,"obchodník, vykonavatel politické moci a rozhodnutí politické autority"
2306,Presbeia,Instituce,Řecký,vysoce postavený úřad
3408,Presbein,Související s funkcí zastupitele,Řecký,sloveso související se zsatávání funkce vyslance či vysoce postaveného úředníka
2585,Presbeutes kai antistrategos,Související s funkcí zastupitele,Římský,legatus pro praetore
2307,Presbys,Související s funkcí zastupitele,Řecký,"úředník, vyslanec, představený"
1848,Proedroi,Související s funkcí zastupitele,Řecký,"předsedající úředníci, představitelé"
3001,Prosgrafos,Související s funkcí zastupitele,Římský,"lat. adscripticus, připsaný na seznam"
1850,Prytaneis,Související s funkcí zastupitele,Řecký,"předsedající úředníci státních institucí, prytanové"
1851,Psefisma,Instituce,Řecký,"rozhodutí, usnesení, výrok, nařízení"
1854,Strategos,Vojenství,Řecký,"vojenský velitel, úředník"
11603,Strateuma,Vojenství,Řecký,vojsko
3177,Stratiotes,Vojenství,Řecký,voják
1855,Symmachia,Vojenství,Řecký,vojenská aliance
2624,Symmachos,Vojenství,Řecký,spojenec
9871,Synarchia,Instituce,Řecký,"společná úřednická funkce, spojená vláda a administrativní funkce"
2309,Synedrion,Instituce,Řecký,"shromáždění lidu, instituce"
16320,Synedros,Související s funkcí zastupitele,Řecký,člen synedria
12034,Synkletikos,Související s funkcí zastupitele,Římský,senátor
12150,Synkletos,Instituce,Řecký,římský senát
3193,Syntelonai,Finanční,Řecký,skupina lidí společně platící daně
12353,Tameion,Instituce,Řecký,státní pokladna
1856,Tamias,Související s funkcí zastupitele,Řecký,"pokladník, finanční úředník"
6131,Thrakarches,Související s funkcí zastupitele,Římský,vysoce postavený úředník - náboženský představitel v provinci Thracia 
2313,Trapeza,Instituce,Řecký,finanční instituce
2681,Trierchia,Související s funkcí zastupitele,Řecký,občasnká povinnost platit náklady na provoz triéry
12089,Trierchos,Vojenství,Řecký,kapitán triéry
8531,"Veteranos,Ouetranos,Beteranos",Vojenství,Římský,"veterán, vysloužilý voják"
2635,Xenos,Společenské postavení,Řecký,cizinec
