Heurist ID,Epitheton (podoba v databázi),Krátký popis,Typ
13358,Triodos,spojováno s Hekaté,Regionální
8247,Zairdenos,spojováno s Apollónem,Subregionální
16666,Zamazis,místní božstvo,Subregionální
10723,Zbelsourdos,místní božstvo,Subregionální
4043,Zbelthiourdos,místní božstvo,Subregionální
9041,Zelaenos,místní božstvo,Subregionální
10263,Zelsourdos,místní božstvo,Subregionální
10306,Zemdrienos,místní božstvo,Subregionální
8244,Zerdenos,spojováno s Apollónem,Subregionální
7344,Zgebdenos,místní božstvo,Subregionální
10862,Zgoulamenos,spojováno s Apollónem,Subregionální
9200,Zinobastenos,místní božstvo,Subregionální
4049,Zousyreithos,místní božstvo,Subregionální
9588,Zydeenos,místní božstvo,Subregionální
6351,Zygia,spojováno s Hérou,Subregionální
9602,Zylmyzdrienos,spojováno s Asklépiem,Subregionální
10008,Zymdrenos,spojováno s Asklépiem,Subregionální
9613,Zymedrenos,spojováno s Asklépiem,Subregionální
9937,Zymlydrenos,spojováno s Asklépiem,Subregionální
9611,Zymydrenos,spojováno s Asklépiem,Subregionální
9828,Zymyzdenos,spojováno s Asklépiem,Subregionální
9948,Zymyzdros,spojováno s Asklépiem,Subregionální
9606,Zymzdrenos,spojováno s Asklépiem,Subregionální
9856,Zysdrenos,"spojováno s Asklépiem, Hygieí a Télesforem",Subregionální
9418,[Let]agenos,místní božstvo,Subregionální
