Record ID,Administrative keywords,Category Admin keyword,Origin,Short summary,Author or Creator >
9468,"Komarchia",Institution,Greek,"collective magistracy of one village",2
1840,"Kome",Location - place name,Greek,"a village, political unit",2
8330,"Kometai",Status,Greek,"inhabitants of kome (village)",2
7545,"Metropolis",Location - place name,Greek,"mother-city",1793
15431,"Nauarchos",Military,Greek,"commander of a fleet, admiral",2
2312,"Nomofylax",Magistrature,Greek,"guardian of law",2
1842,"Nomos",Institution,Greek,"law, regulation",2
1843,"Oikonomos",Magistrature,Greek,"financial manager, controller of the city expenses",2
1844,"Oikos",Location - place name,Greek,"a household",2
15054,"Paidagogos",Other occupation,Greek,"slave who went with a boy from home to school and back again",2
2607,"Paideutes",Other occupation,Greek,"teacher, instructor",2
2305,"Patris",Location - place name,Greek,"the homeland",2
4772,"Patron",Other occupation,Roman,"patron",2
11580,"Polemos",Military,Greek,"war",2
1846,"Polis",Institution,Greek,"Greek city-state",2
2320,"Politai",Status,Greek,"citizens",2
1847,"Politeia",Institution,Greek,"a constitution",2
8918,"Politeuomenon",Institution,Greek,"being polites, citizen",2
3092,"Pontarches",Magistrature,Greek,"president of the provincial council of Pontus",2
12477,"Pragmatikos",Magistrature,Greek,"agent, attorney",1792
2306,"Presbeia",Institution,Greek,"office",2
3408,"Presbein",Magistrature,Greek,"verb to be an ambassador or serve as one",2
2585,"Presbeutes kai antistrategos",Magistrature,Roman,"legatus pro praetore",2
2307,"Presbys",Magistrature,Greek,"an official",2
1848,"Proedroi",Magistrature,Greek,"presiding officers",2
3001,"Prosgrafos",Magistrature,Roman,"lat. adscripticus",2
1850,"Prytaneis",Magistrature,Greek,"an executive board in a Greek polis, civil board",2
1851,"Psefisma",Institution,Greek,"an official decision, issued by boule, ekklesia atc.",2
1854,"Strategos",Military,Greek,"commanders, governors, magistates",2
11603,"Strateuma",Military,Greek,"the army",2
3177,"Stratiotes",Military,Greek,"soldier",1793
1855,"Symmachia",Military,Greek,"a military alliance",2
2624,"Symmachos",Military,Greek,"an ally",2
9871,"Synarchia",Institution,Greek,"joint administration or government, collective magistracy",1792
2309,"Synedrion",Institution,Greek,"body of Greek state",2
16320,"Synedros",Magistrature,Greek,"one who sits with others, assessor, coadjutor, delegates to the assembly ",2
12034,"Synkletikos",Magistrature,Roman,"senator",1792
12150,"Synkletos",Institution,Greek,"(Roman) senate",1792
3193,"Syntelonai",Financial,Greek,"Group of people paying taxes",2
12353,"Tameion",Institution,Greek,"state treasury",1792
1856,"Tamias",Magistrature,Greek,"treasurer",2
6131,"Thrakarches",Magistrature,Roman,"high raking official",2
2313,"Trapeza",Institution,Greek,"bank / financial institution",2
2681,"Trierchia",Magistrature,Greek,"duty of paying triera",2
12089,"Trierchos",Military,Greek,"captain",1792
8531,"Veteranos|Ouetranos|Beteranos",Military,Roman,"Veteran, ex-soldier",2
2635,"Xenos",Status,Greek,"foreigner",2
